SKU code,Product name,Product description,Product Category,Product Subcategory,Quantity on hand,Reorder Quantity,Unit price,Product rating
HPC-LA100QXM,PureAid Personal Care Care,"PureAid Personal Care with CE?marked, Once?daily usage, Child?safe cap. Priced competitively at $62.00.",Health,Personal Care,32,111,62,3.9
F-F-E4261BW4,Cobalt Lane Footwear Signature,"Cobalt Lane Footwear with Breathable fabric, Slim fit, Hand wash cold. Priced competitively at $316.00.",Fashion - Men,Footwear,8,25,316,4.1
EM-55DMCXXB,"Cresta Crystal 26""","Cresta Monitors with 283GB storage, 14GB RAM, Bluetooth 5.3. Priced competitively at $316.90.",Electronics,Monitors,320,49,316.9,4.1
SOTS-AZ39PECN,SummitGear Team Sports Lite,"SummitGear Team Sports with Lightweight frame, Indoor & outdoor use, Pro grade. Priced competitively at $28.90.",Sports & Outdoors,Team Sports,374,113,28.9,3.5
F-B-TAXP0WFO,Velvete Bottoms Classic,"Velvete Bottoms with 100% cotton, Regular fit, Machine washable. Priced competitively at $36.90.",Fashion - Women,Bottoms,351,66,36.9,4.3
BC&-JDTVV2Y4,InkWave Comics & Manga Edition,"InkWave Comics & Manga with Paperback, 710 pages, English language. Priced competitively at $17.95.",Books,Comics & Manga,337,48,17.95,4.1
PSC-RERVT997,PawJoy Cat Grain?Free,"PawJoy Cat with Grain?free, For large breeds, Low?odor. Priced competitively at $203.00.",Pet Supplies,Cat,67,59,203,4.5
BPF-CJBC2SWS,Lumina Fragrances Strength,"Lumina Fragrances with Cruelty?free, For all skin types, Hyaluronic acid. Priced competitively at $376.99.",Beauty & Personal Care,Fragrances,212,64,376.99,3.8
F-T-LV1XXLP8,Stone&Co Tops Signature,"Stone&Co Tops with 100% cotton, Slim fit, Dry clean recommended. Priced competitively at $41.90.",Fashion - Men,Tops,122,17,41.9,4.2
BF-ZF8S2ZGE,Maple Press Fiction Edition,"Maple Press Fiction with Paperback, 210 pages, English language. Priced competitively at $17.90.",Books,Fiction,399,44,17.9,5
TGAF-RSB4GF16,KidLabs Action Figures Starter,"KidLabs Action Figures with Ages 8+, STEM learning, Includes instructions. Priced competitively at $66.00.",Toys & Games,Action Figures,345,102,66,4.7
SOFE-74T60PLO,AeroStride Fitness Equipment Elite,"AeroStride Fitness Equipment with Anti?slip grip, Indoor & outdoor use, Competition size. Priced competitively at $481.95.",Sports & Outdoors,Fitness Equipment,368,50,481.95,4.6
F-D-298CQK4L,Velvete Dresses Essential,"Velvete Dresses with Four?way stretch, Relaxed fit, Dry clean recommended. Priced competitively at $214.99.",Fashion - Women,Dresses,283,68,214.99,4.5
SOTS-1IAOIM45,AeroStride Team Sports X,"AeroStride Team Sports with Lightweight frame, Foldable for storage, Pro grade. Priced competitively at $138.95.",Sports & Outdoors,Team Sports,486,52,138.95,4.2
HPC-89FKBI4O,PureAid Personal Care Care,"PureAid Personal Care with Clinically tested, Once?daily usage, Latex?free. Priced competitively at $9.90.",Health,Personal Care,458,57,9.9,3.6
BPF-8IJL2Z0L,PureGlow Fragrances Calm,"PureGlow Fragrances with Dermatologist?tested, For sensitive skin, Hyaluronic acid. Priced competitively at $36.99.",Beauty & Personal Care,Fragrances,139,39,36.99,4.4
BF-OT8HLJEF,NorthStar Fiction Collection,"NorthStar Fiction with Paperback, 400 pages, English language. Priced competitively at $11.90.",Books,Fiction,351,48,11.9,4.5
BPS-BK3G84UT,PureGlow Skincare Strength,"PureGlow Skincare with Dermatologist?tested, For sensitive skin, Vitamin C. Priced competitively at $193.00.",Beauty & Personal Care,Skincare,48,69,193,3.7
ES-Y7DV7C9H,Voltiva S9 Max,"Voltiva Smartphones with 497GB storage, 16GB RAM, USB?C. Priced competitively at $1443.90.",Electronics,Smartphones,330,66,1443.9,4.3
ACC-BYGHGK5B,CleanRide Car Care Shield,"CleanRide Car Care with All?season formula, Low?odor, 12?month warranty. Priced competitively at $25.95.",Automotive,Car Care,317,88,25.95,4
AT&-KEH5SW22,AutoZen Tools & Equipment Pro,"AutoZen Tools & Equipment with Microfiber material, Compact storage case, Quick?dry. Priced competitively at $678.95.",Automotive,Tools & Equipment,195,110,678.95,4.1
PSA-VB3K3QMV,PawJoy Aquatic Natural,"PawJoy Aquatic with Vet?recommended, Suitable for all breeds, Low?odor. Priced competitively at $114.90.",Pet Supplies,Aquatic,119,30,114.9,3.8
SOC-42M44GV3,AeroStride Cycling X,"AeroStride Cycling with Anti?slip grip, Foldable for storage, Competition size. Priced competitively at $647.99.",Sports & Outdoors,Cycling,357,55,647.99,4.3
BPGT-GBCVARLW,HerbaCare Grooming Tools Matte,"HerbaCare Grooming Tools with Sulfate?free, For sensitive skin, Niacinamide. Priced competitively at $233.95.",Beauty & Personal Care,Grooming Tools,412,26,233.95,4.2
ES-8N7ODKEF,MobiCore A11 Max,"MobiCore Smartphones with 396GB storage, 9GB RAM, Wi?Fi 6. Priced competitively at $555.90.",Electronics,Smartphones,485,65,555.9,4.5
GGHF-E088O98B,MorningMills Health Foods Value,"MorningMills Health Foods with Low sugar, Keto friendly, Locally sourced. Priced competitively at $76.95.",Groceries & Gourmet,Health Foods,308,50,76.95,3.2
AIA-9G5DZX5Q,RoadSure Interior Accessories Essential,"RoadSure Interior Accessories with Microfiber material, Universal fit, Quick?dry. Priced competitively at $72.99.",Automotive,Interior Accessories,135,36,72.99,4.2
ES-MN32U1IQ,Voltiva Z10 Lite,"Voltiva Smartphones with 81GB storage, 8GB RAM, Bluetooth 5.3. Priced competitively at $836.95.",Electronics,Smartphones,409,118,836.95,4.3
HKC-C79M96ZP,ChefMate Cookware,"ChefMate Cookware with Dishwasher?safe, Ergonomic handle, Easy to clean. Priced competitively at $116.95.",Home & Kitchen,Cookware,334,31,116.95,3.9
SOC&-IBU4FMPK,PeakPro Camping & Hiking Core,"PeakPro Camping & Hiking with Shock?absorbing, Indoor & outdoor use, Beginner friendly. Priced competitively at $243.00.",Sports & Outdoors,Camping & Hiking,338,90,243,3.9
EC-2Q6JXNNN,Aureon Z19 DSLR,"Aureon Cameras with 198GB storage, 7GB RAM, USB?C. Priced competitively at $577.00.",Electronics,Cameras,95,67,577,4.6
HS-8VT43PT5,CarePlus Supplements Care,"CarePlus Supplements with GMP certified, Easy?read display, Child?safe cap. Priced competitively at $14.00.",Health,Supplements,243,83,14,4.3
HKS&-62YWE1G9,BrightNest Storage & Organization Plus,"BrightNest Storage & Organization with BPA?free, Ergonomic handle, Heat?resistant up to 230°C. Priced competitively at $175.99.",Home & Kitchen,Storage & Organization,497,37,175.99,4.3
TGBG-L03DUT4S,KidLabs Board Games Creative,"KidLabs Board Games with Ages 12+, Solo or group play, Batteries included. Priced competitively at $198.90.",Toys & Games,Board Games,469,11,198.9,4
PSSP-V177UDKT,WhiskerWorks Small Pets Care,"WhiskerWorks Small Pets with Natural ingredients, For large breeds, High?protein. Priced competitively at $17.90.",Pet Supplies,Small Pets,176,62,17.9,4.1
EH-O5YBRJNM,NovaPulse Quiet 200,"NovaPulse Headphones with 223GB storage, 8GB RAM, NFC support. Priced competitively at $141.90.",Electronics,Headphones,406,48,141.9,4.8
BPM-0VDP6ORS,Velour Makeup Matte,"Velour Makeup with Dermatologist?tested, For dry skin, Argan oil. Priced competitively at $192.95.",Beauty & Personal Care,Makeup,191,115,192.95,4.9
BPGT-5HCBBMHN,AquaDerm Grooming Tools Repair,"AquaDerm Grooming Tools with Cruelty?free, For all skin types, Vitamin C. Priced competitively at $211.99.",Beauty & Personal Care,Grooming Tools,237,74,211.99,4.4
SOC-VMF60YKN,AeroStride Cycling Lite,"AeroStride Cycling with Sweat?wicking, Foldable for storage, Beginner friendly. Priced competitively at $577.95.",Sports & Outdoors,Cycling,83,119,577.95,3.3
GGS-58YREG2I,VitaBurst Snacks Organic,"VitaBurst Snacks with High fibre, Keto friendly, Imported. Priced competitively at $9.95.",Groceries & Gourmet,Snacks,311,113,9.95,3.7
TGST-QY3ODSX4,BrainSpark STEM Toys Explorer,"BrainSpark STEM Toys with Ages 36, Solo or group play, Includes instructions. Priced competitively at $243.95.",Toys & Games,STEM Toys,191,81,243.95,3.9
ACC-JZ6KF162,TorquePro Car Care Essential,"TorquePro Car Care with Heavy?duty steel, Compact storage case, Quick?dry. Priced competitively at $51.00.",Automotive,Car Care,410,113,51,3.8
F-H-JPNBZUG0,Opal&Oak Handbags Premium,"Opal&Oak Handbags with Four?way stretch, Relaxed fit, Hand wash cold. Priced competitively at $109.99.",Fashion - Women,Handbags,113,97,109.99,3.5
BPGT-00U686XI,PureGlow Grooming Tools Repair,"PureGlow Grooming Tools with Sulfate?free, For oily skin, Niacinamide. Priced competitively at $37.99.",Beauty & Personal Care,Grooming Tools,114,105,37.99,4
F-B-BWUWQHEY,Asteria Bottoms Active,"Asteria Bottoms with Breathable fabric, Regular fit, Machine washable. Priced competitively at $133.95.",Fashion - Women,Bottoms,271,48,133.95,3.5
F-F-5GCL9LCQ,Velvete Footwear Premium,"Velvete Footwear with Breathable fabric, Relaxed fit, Machine washable. Priced competitively at $491.95.",Fashion - Women,Footwear,107,107,491.95,4.6
ACC-PRAT0861,CleanRide Car Care Shield,"CleanRide Car Care with Heavy?duty steel, Universal fit, Meets OEM specs. Priced competitively at $19.95.",Automotive,Car Care,271,34,19.95,4.2
HPC-VG3KK0VM,PureAid Personal Care Advanced,"PureAid Personal Care with GMP certified, Easy?read display, Child?safe cap. Priced competitively at $24.99.",Health,Personal Care,454,97,24.99,4.2
F-O-I9HASEZ2,Asteria Outerwear Essential,"Asteria Outerwear with 100% cotton, Relaxed fit, Machine washable. Priced competitively at $111.95.",Fashion - Women,Outerwear,192,91,111.95,4.2
GGB-PNTRFZWK,GoodGrain Beverages Organic,"GoodGrain Beverages with High fibre, Keto friendly, Locally sourced. Priced competitively at $29.99.",Groceries & Gourmet,Beverages,338,22,29.99,4.7
TGBS-2RV239MO,BrainSpark Building Sets Starter,"BrainSpark Building Sets with Ages 12+, Family game night, No batteries required. Priced competitively at $128.99.",Toys & Games,Building Sets,82,15,128.99,3.4
SOFE-YFDS0DJI,TrailForge Fitness Equipment X,"TrailForge Fitness Equipment with Anti?slip grip, Weather?resistant, Beginner friendly. Priced competitively at $26.99.",Sports & Outdoors,Fitness Equipment,500,47,26.99,3.9
HKSA-L0D1B4XG,Nordica Small Appliances,"Nordica Small Appliances with Dishwasher?safe, Compact design, Easy to clean. Priced competitively at $673.00.",Home & Kitchen,Small Appliances,183,66,673,4.5
BPS-YRP5GE09,Velour Skincare Glow,"Velour Skincare with Dermatologist?tested, For oily skin, Argan oil. Priced competitively at $96.95.",Beauty & Personal Care,Skincare,432,30,96.95,4.1
BC&-5506RR5P,InkWave Comics & Manga Series,"InkWave Comics & Manga with Paperback, 526 pages, English language. Priced competitively at $11.95.",Books,Comics & Manga,32,43,11.95,4.2
PSA-XXF36WA7,HappyPaws Accessories Natural,"HappyPaws Accessories with Grain?free, For small breeds, No artificial colours. Priced competitively at $13.90.",Pet Supplies,Accessories,258,118,13.9,4.1
HKS&-STN3CPUD,Nordica Storage & Organization Set,"Nordica Storage & Organization with Dishwasher?safe, Ergonomic handle, Easy to clean. Priced competitively at $53.00.",Home & Kitchen,Storage & Organization,255,67,53,3.7
TGBS-8W6UXQM3,PlaySmith Building Sets Family,"PlaySmith Building Sets with Ages 36, Family game night, Batteries included. Priced competitively at $143.99.",Toys & Games,Building Sets,418,38,143.99,5
BT-1HM38KSZ,NorthStar Textbooks Series,"NorthStar Textbooks with Hardcover, 289 pages, English language. Priced competitively at $90.00.",Books,Textbooks,23,31,90,3.5
BN-ZDO74V1Q,BlueCedar Non?Fiction Edition,"BlueCedar Non?Fiction with Paperback, 690 pages, English language. Priced competitively at $18.95.",Books,Non?Fiction,337,85,18.95,4.2
PSD-726YG3DX,Nibble&Nest Dog Comfort,"Nibble&Nest Dog with Natural ingredients, For large breeds, No artificial colours. Priced competitively at $137.95.",Pet Supplies,Dog,310,51,137.95,3.8
F-A-EV5S4TL0,AxisWear Accessories Essential,"AxisWear Accessories with Breathable fabric, Regular fit, Machine washable. Priced competitively at $190.00.",Fashion - Men,Accessories,283,90,190,4.2
BC-Z1UU7ZY6,BlueCedar Children Collection,"BlueCedar Children with Paperback, 715 pages, English language. Priced competitively at $26.90.",Books,Children,273,46,26.9,4.5
EM-9YFC2HTM,"Voltiva Crystal 26""","Voltiva Monitors with 379GB storage, 14GB RAM, Wi?Fi 6. Priced competitively at $258.99.",Electronics,Monitors,231,23,258.99,3.9
PSA-O2Y8B0H5,HappyPaws Aquatic Comfort,"HappyPaws Aquatic with Natural ingredients, For large breeds, Low?odor. Priced competitively at $243.99.",Pet Supplies,Aquatic,440,66,243.99,4.6
F-O-Q9C80EBK,Velvete Outerwear Premium,"Velvete Outerwear with Breathable fabric, Relaxed fit, Hand wash cold. Priced competitively at $364.90.",Fashion - Women,Outerwear,135,26,364.9,3.4
ET-V1W4K2TC,"Aureon Tab 10""","Aureon Tablets with 330GB storage, 5GB RAM, Wi?Fi 6. Priced competitively at $716.90.",Electronics,Tablets,362,50,716.9,3.2
HKB-LK8WRU1X,SwiftClean Bedding Essential,"SwiftClean Bedding with Stainless steel, Compact design, Includes user guide. Priced competitively at $58.90.",Home & Kitchen,Bedding,58,95,58.9,4
GGHF-N2EJ0AS1,GoodGrain Health Foods Value,"GoodGrain Health Foods with High fibre, Keto friendly, Locally sourced. Priced competitively at $89.90.",Groceries & Gourmet,Health Foods,263,112,89.9,3.7
F-A-TWHWHY4H,Velvete Accessories Signature,"Velvete Accessories with Water?resistant, Relaxed fit, Machine washable. Priced competitively at $15.99.",Fashion - Women,Accessories,424,99,15.99,4.2
HMD-CGJC36OQ,VitalEdge Medical Devices Plus,"VitalEdge Medical Devices with GMP certified, Portable design, Includes carrying case. Priced competitively at $23.00.",Health,Medical Devices,207,65,23,4
GGHF-7D2KD1PO,GoodGrain Health Foods Value,"GoodGrain Health Foods with Gluten?free, Suitable for vegetarians, Locally sourced. Priced competitively at $6.99.",Groceries & Gourmet,Health Foods,338,13,6.99,4.6
BPF-K585X8A5,UrbanMan Fragrances Repair,"UrbanMan Fragrances with Cruelty?free, For all skin types, Niacinamide. Priced competitively at $301.00.",Beauty & Personal Care,Fragrances,72,25,301,4.7
SOC-H4GG2447,AeroStride Cycling Elite,"AeroStride Cycling with Lightweight frame, Weather?resistant, Competition size. Priced competitively at $205.90.",Sports & Outdoors,Cycling,281,69,205.9,4.3
HKB-EXDW6LQW,Nordica Bedding Essential,"Nordica Bedding with Stainless steel, Compact design, Easy to clean. Priced competitively at $32.95.",Home & Kitchen,Bedding,156,98,32.95,3.8
BPS-XJMYLRQ1,UrbanMan Skincare Calm,"UrbanMan Skincare with Dermatologist?tested, For sensitive skin, Vitamin C. Priced competitively at $73.90.",Beauty & Personal Care,Skincare,249,80,73.9,3.9
F-B-5CCASBUO,Mariner Bottoms Weekend,"Mariner Bottoms with Water?resistant, Relaxed fit, Machine washable. Priced competitively at $174.90.",Fashion - Men,Bottoms,302,37,174.9,4.6
F-F-SDNAI89Y,Velvete Footwear Active,"Velvete Footwear with Breathable fabric, Slim fit, Machine washable. Priced competitively at $90.00.",Fashion - Women,Footwear,387,75,90,3.9
BPGT-RMHRCNBH,UrbanMan Grooming Tools Calm,"UrbanMan Grooming Tools with Cruelty?free, For all skin types, Vitamin C. Priced competitively at $233.90.",Beauty & Personal Care,Grooming Tools,464,111,233.9,3.9
GGPS-TGXNX4SN,MorningMills Pantry Staples,"MorningMills Pantry Staples with Gluten?free, Vegan friendly, Imported. Priced competitively at $6.00.",Groceries & Gourmet,Pantry Staples,464,38,6,4.5
AT&-PISKFFV3,SteelLine Tools & Equipment Ultimate,"SteelLine Tools & Equipment with All?season formula, Compact storage case, Quick?dry. Priced competitively at $682.99.",Automotive,Tools & Equipment,338,39,682.99,3.9
AT&-IEVES6FF,CleanRide Tools & Equipment Pro,"CleanRide Tools & Equipment with Heavy?duty steel, Compact storage case, Quick?dry. Priced competitively at $122.90.",Automotive,Tools & Equipment,472,33,122.9,4.4
BF-VQRHOFU1,Maple Press Fiction Vol.4,"Maple Press Fiction with Hardcover, 644 pages, English language. Priced competitively at $43.00.",Books,Fiction,319,94,43,4
BF-H4SPFDRW,BlueCedar Fiction Series,"BlueCedar Fiction with Paperback, 275 pages, English language. Priced competitively at $14.95.",Books,Fiction,19,110,14.95,4.2
GGS-P5ZP7R1M,RiverLeaf Snacks,"RiverLeaf Snacks with No artificial flavours, Vegan friendly, Locally sourced. Priced competitively at $34.99.",Groceries & Gourmet,Snacks,411,104,34.99,4.8
F-A-5OGZ2UEA,Mariner Accessories Signature,"Mariner Accessories with Four?way stretch, Slim fit, Hand wash cold. Priced competitively at $140.99.",Fashion - Men,Accessories,335,36,140.99,3.8
HKSA-PNJY1O2R,Nordica Small Appliances Plus,"Nordica Small Appliances with Stainless steel, Energy?efficient, Easy to clean. Priced competitively at $282.00.",Home & Kitchen,Small Appliances,189,81,282,3.9
HFA-28DS22WY,MediSure First Aid Care,"MediSure First Aid with CE?marked, Portable design, Includes carrying case. Priced competitively at $54.99.",Health,First Aid,26,30,54.99,4.1
HKSA-JNV07OXK,CasaPure Small Appliances Set,"CasaPure Small Appliances with Non?stick, Energy?efficient, Easy to clean. Priced competitively at $317.95.",Home & Kitchen,Small Appliances,493,86,317.95,4.8
ACC-2SZWYMX9,RoadSure Car Care Pro,"RoadSure Car Care with Microfiber material, Compact storage case, Quick?dry. Priced competitively at $29.00.",Automotive,Car Care,44,45,29,4.4
TGST-T0UUM3I8,PlaySmith STEM Toys Starter,"PlaySmith STEM Toys with Ages 36, Solo or group play, Includes instructions. Priced competitively at $152.99.",Toys & Games,STEM Toys,232,61,152.99,3.9
PSD-853UY8U1,PawJoy Dog Care,"PawJoy Dog with Grain?free, For large breeds, High?protein. Priced competitively at $121.00.",Pet Supplies,Dog,387,53,121,4.1
BF-YIL8SA3I,Maple Press Fiction Edition,"Maple Press Fiction with Paperback, 362 pages, English language. Priced competitively at $24.00.",Books,Fiction,47,61,24,3.9
F-B-Y6RH05HH,Velvete Bottoms Weekend,"Velvete Bottoms with Four?way stretch, Regular fit, Machine washable. Priced competitively at $51.00.",Fashion - Women,Bottoms,127,117,51,3.5
HKC-1TBRWR96,BrightNest Cookware Set,"BrightNest Cookware with Stainless steel, Compact design, Includes user guide. Priced competitively at $247.95.",Home & Kitchen,Cookware,444,45,247.95,3
BN-SOYG9ZQY,NorthStar Non?Fiction Series,"NorthStar Non?Fiction with Paperback, 568 pages, English language. Priced competitively at $11.95.",Books,Non?Fiction,6,96,11.95,4.3
HKB-JJ8MGPP1,ChefMate Bedding Plus,"ChefMate Bedding with Non?stick, Energy?efficient, Heat?resistant up to 230°C. Priced competitively at $93.00.",Home & Kitchen,Bedding,186,119,93,3.8
SOFE-4H20RAPE,SummitGear Fitness Equipment Lite,"SummitGear Fitness Equipment with Anti?slip grip, Weather?resistant, Pro grade. Priced competitively at $837.90.",Sports & Outdoors,Fitness Equipment,457,118,837.9,4.5
F-O-YC3RWQMM,AxisWear Outerwear Classic,"AxisWear Outerwear with 100% cotton, Slim fit, Machine washable. Priced competitively at $414.99.",Fashion - Men,Outerwear,286,81,414.99,4.5
F-O-XT9KLS1Q,Seraphine Outerwear Signature,"Seraphine Outerwear with Four?way stretch, Slim fit, Dry clean recommended. Priced competitively at $432.90.",Fashion - Women,Outerwear,40,58,432.9,4.1
BPHC-WO6CMLXZ,PureGlow Hair Care Calm,"PureGlow Hair Care with Sulfate?free, For oily skin, Argan oil. Priced competitively at $139.00.",Beauty & Personal Care,Hair Care,309,92,139,3.5
BPHC-X7ZCGDC5,UrbanMan Hair Care Repair,"UrbanMan Hair Care with Dermatologist?tested, For oily skin, Vitamin C. Priced competitively at $202.90.",Beauty & Personal Care,Hair Care,280,16,202.9,4.7
HKB-LIKWE4BX,SwiftClean Bedding Deluxe,"SwiftClean Bedding with Stainless steel, Energy?efficient, Easy to clean. Priced competitively at $167.99.",Home & Kitchen,Bedding,440,51,167.99,4.5
BPGT-WUSXLMT2,UrbanMan Grooming Tools Calm,"UrbanMan Grooming Tools with Sulfate?free, For oily skin, Niacinamide. Priced competitively at $36.95.",Beauty & Personal Care,Grooming Tools,226,49,36.95,3.9
BPM-QA78RAPK,Velour Makeup Matte,"Velour Makeup with Cruelty?free, For oily skin, Argan oil. Priced competitively at $6.90.",Beauty & Personal Care,Makeup,118,111,6.9,4.6
SOC&-JPI163YK,FlexiFit Camping & Hiking Elite,"FlexiFit Camping & Hiking with Anti?slip grip, Weather?resistant, Beginner friendly. Priced competitively at $507.95.",Sports & Outdoors,Camping & Hiking,380,78,507.95,4.2
HKSA-WJWGABTG,SwiftClean Small Appliances Deluxe,"SwiftClean Small Appliances with Dishwasher?safe, Ergonomic handle, Includes user guide. Priced competitively at $93.99.",Home & Kitchen,Small Appliances,52,46,93.99,4.1
BPS-2RNZBC1F,PureGlow Skincare Matte,"PureGlow Skincare with Cruelty?free, For all skin types, Argan oil. Priced competitively at $123.00.",Beauty & Personal Care,Skincare,136,109,123,4.8
BPHC-E1I1P0BQ,PureGlow Hair Care Hydra,"PureGlow Hair Care with Cruelty?free, For oily skin, Niacinamide. Priced competitively at $215.00.",Beauty & Personal Care,Hair Care,394,22,215,3.1
F-T-ERKMBY9I,Seraphine Tops Signature,"Seraphine Tops with 100% cotton, Regular fit, Hand wash cold. Priced competitively at $113.99.",Fashion - Women,Tops,222,51,113.99,4
BF-YF1IRYM8,Maple Press Fiction Vol.1,"Maple Press Fiction with Paperback, 289 pages, English language. Priced competitively at $20.90.",Books,Fiction,388,90,20.9,4.5
AIA-AN0JBZUT,CleanRide Interior Accessories Ultimate,"CleanRide Interior Accessories with Heavy?duty steel, Universal fit, Quick?dry. Priced competitively at $68.00.",Automotive,Interior Accessories,250,34,68,4.3
F-B-FTQ3TQ1S,Seraphine Bottoms Signature,"Seraphine Bottoms with Four?way stretch, Relaxed fit, Machine washable. Priced competitively at $171.00.",Fashion - Women,Bottoms,375,33,171,4.6
F-H-Y1FKOLDX,Velvete Handbags Signature,"Velvete Handbags with Breathable fabric, Regular fit, Machine washable. Priced competitively at $61.95.",Fashion - Women,Handbags,22,116,61.95,3.8
SOFE-XNRWVBHZ,TrailForge Fitness Equipment X,"TrailForge Fitness Equipment with Lightweight frame, Weather?resistant, Competition size. Priced competitively at $499.99.",Sports & Outdoors,Fitness Equipment,6,36,499.99,3.7
ET-CWT04CHS,"MobiCore Pad 13""","MobiCore Tablets with 182GB storage, 12GB RAM, NFC support. Priced competitively at $838.95.",Electronics,Tablets,51,102,838.95,3.4
PSC-ODWMQX5G,Nibble&Nest Cat Care,"Nibble&Nest Cat with Vet?recommended, For large breeds, Low?odor. Priced competitively at $142.90.",Pet Supplies,Cat,92,80,142.9,3.9
AEA-1P0VUH17,TorquePro Exterior Accessories Shield,"TorquePro Exterior Accessories with Microfiber material, Compact storage case, 12?month warranty. Priced competitively at $348.00.",Automotive,Exterior Accessories,130,56,348,4.4
ES-KH4A3YJT,NovaPulse S7 Pro,"NovaPulse Smartphones with 83GB storage, 11GB RAM, USB?C. Priced competitively at $1673.99.",Electronics,Smartphones,284,83,1673.99,4.4
F-F-3DO7002G,Stone&Co Footwear Premium,"Stone&Co Footwear with 100% cotton, Relaxed fit, Dry clean recommended. Priced competitively at $345.90.",Fashion - Men,Footwear,422,98,345.9,4.1
F-T-7M5P7E10,UrbanCut Tops Classic,"UrbanCut Tops with Water?resistant, Regular fit, Hand wash cold. Priced competitively at $102.95.",Fashion - Men,Tops,434,87,102.95,4.7
PSD-ZFY981UD,AquaScape Dog Care,"AquaScape Dog with Grain?free, Suitable for all breeds, No artificial colours. Priced competitively at $69.90.",Pet Supplies,Dog,221,47,69.9,4
F-D-JOPZ1RHO,Seraphine Dresses Active,"Seraphine Dresses with Breathable fabric, Regular fit, Machine washable. Priced competitively at $201.99.",Fashion - Women,Dresses,292,35,201.99,2.9
F-A-ONGMX1GM,UrbanCut Accessories Weekend,"UrbanCut Accessories with Water?resistant, Relaxed fit, Machine washable. Priced competitively at $49.99.",Fashion - Men,Accessories,420,112,49.99,3.7
ACC-F0D0IWF3,RoadSure Car Care Essential,"RoadSure Car Care with Microfiber material, Compact storage case, 12?month warranty. Priced competitively at $179.90.",Automotive,Car Care,147,11,179.9,3.8
ET-R0FZAUXB,"Voltiva Pad 12""","Voltiva Tablets with 209GB storage, 7GB RAM, USB?C. Priced competitively at $407.90.",Electronics,Tablets,87,17,407.9,4.8
GGB-A5XIN9DL,MorningMills Beverages Organic,"MorningMills Beverages with Gluten?free, Keto friendly, Locally sourced. Priced competitively at $4.00.",Groceries & Gourmet,Beverages,443,86,4,3.9
EC-AYMK99JC,Zenbyte Z55 Mirrorless,"Zenbyte Cameras with 481GB storage, 4GB RAM, USB?C. Priced competitively at $2287.00.",Electronics,Cameras,131,59,2287,4.1
F-F-8WWIIF86,Opal&Oak Footwear Signature,"Opal&Oak Footwear with Breathable fabric, Relaxed fit, Dry clean recommended. Priced competitively at $295.99.",Fashion - Women,Footwear,168,67,295.99,3.9
GGS-P61XUFCT,VitaBurst Snacks Family Pack,"VitaBurst Snacks with Low sugar, Vegan friendly, Locally sourced. Priced competitively at $32.00.",Groceries & Gourmet,Snacks,368,25,32,4.1
HS-P767J2DG,PureAid Supplements Daily,"PureAid Supplements with Clinically tested, Once?daily usage, Latex?free. Priced competitively at $140.95.",Health,Supplements,390,88,140.95,3.8
SOC&-E4QXGNRF,TrailForge Camping & Hiking Lite,"TrailForge Camping & Hiking with Shock?absorbing, Indoor & outdoor use, Pro grade. Priced competitively at $481.00.",Sports & Outdoors,Camping & Hiking,115,14,481,3.8
TGBG-G8PWY55P,GearBlocks Board Games Starter,"GearBlocks Board Games with Ages 12+, Family game night, No batteries required. Priced competitively at $137.90.",Toys & Games,Board Games,397,15,137.9,3.6
BT-Q55IT9BN,Sunrise House Textbooks Vol.2,"Sunrise House Textbooks with Paperback, 374 pages, English language. Priced competitively at $113.99.",Books,Textbooks,391,90,113.99,3.7
AT&-PWBSF3Q0,CleanRide Tools & Equipment Ultimate,"CleanRide Tools & Equipment with Heavy?duty steel, Low?odor, Meets OEM specs. Priced competitively at $680.00.",Automotive,Tools & Equipment,57,33,680,4.4
TGST-VZHQJY62,GearBlocks STEM Toys Advanced,"GearBlocks STEM Toys with Ages 8+, STEM learning, Includes instructions. Priced competitively at $76.99.",Toys & Games,STEM Toys,367,103,76.99,3.3
HFA-09WFTBGM,CarePlus First Aid Care,"CarePlus First Aid with GMP certified, Once?daily usage, Latex?free. Priced competitively at $45.99.",Health,First Aid,446,94,45.99,4.4
EM-EEHWJQ4T,"Zenbyte Edge 26""","Zenbyte Monitors with 316GB storage, 7GB RAM, Wi?Fi 6. Priced competitively at $431.95.",Electronics,Monitors,2,87,431.95,4
TGST-KW3HGBMF,GearBlocks STEM Toys Family,"GearBlocks STEM Toys with Ages 36, STEM learning, Includes instructions. Priced competitively at $22.99.",Toys & Games,STEM Toys,16,95,22.99,3.7
HKS&-VYV2GQU7,SwiftClean Storage & Organization Essential,"SwiftClean Storage & Organization with Stainless steel, Compact design, Easy to clean. Priced competitively at $197.90.",Home & Kitchen,Storage & Organization,47,108,197.9,3.9
TGBS-EZJSSZWD,BrainSpark Building Sets Advanced,"BrainSpark Building Sets with Ages 12+, Solo or group play, Batteries included. Priced competitively at $209.99.",Toys & Games,Building Sets,373,90,209.99,4
HPC-UW7WR0R3,Healio Personal Care Advanced,"Healio Personal Care with GMP certified, Portable design, Child?safe cap. Priced competitively at $34.00.",Health,Personal Care,452,88,34,4.2
